player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Cody Martin,martico01,2023,RS,CHA,291,134,-.3525569516768244,-2.709366398999965,-3.061923350676789,.0134744458956335,-2.101814712310087,-2.088340266414454,-.2549460204270181,-2.733571133697057,-2.988517154124075,-.0161701889414174,-.0161701889414174,0,-.8077365494579081,-1.85398304161109,-2.661719591068998,-.844009177914132
Kenyon Martin Jr.,martike04,2023,RS,HOU,4716,2232,-1.228980506620754,-3.465131253893634,-4.694111760514388,.703169106381717,-1.867894829786206,-1.164725723404489,-.8736507157665594,-3.293074687424309,-4.166725403190869,-1.614298159293511,-1.614298159293511,0,-1.239851031985626,-3.860768998003989,-5.100620029989615,.0611919626832974
Tyrese Martin,martity01,2023,RS,ATL,105,50,-5.239014113657314,-6.589356131019128,-11.82837024467644,-2.349585423652581,-.9532205109564168,-3.302805934608998,-4.948999030569812,-5.768251703366047,-10.71725073393586,-.2007012483486985,-.2007012483486985,0,-3.645056504621439,-6.576580536127431,-10.22163704074887,-1.262032248719829
Garrison Mathews,mathega01,2023,RS,HOU,1281,602,.2949922595679702,3.666125493843021,3.961117753410992,-6.589181260893642,4.486394550283539,-2.102786710610103,-1.112880590461763,4.129970058252657,3.017089467790894,1.781354814151612,1.781354814151612,0,-.8537596052112071,2.407800386161166,1.554040780949959,.5721405897066015
Garrison Mathews,mathega01,2023,RS,ATL,128,59,1.140377157138457,1.198064096767288,2.338441253905745,-2.359002321411403,5.426858479151177,3.067856157739774,.4502450031941657,2.163688438313989,2.613933441508155,.1615899412746566,.1615899412746566,0,-2.144662450217391,.2620024335663245,-1.882660016651067,.0786326256463895
Bennedict Mathurin,mathube01,2023,RS,IND,4609,2147,-.3856827842816133,-1.777457628752685,-2.163140413034299,-3.061348663313178,.2474285879963276,-2.813920075316851,-.9635857995762822,-1.424631851360272,-2.388217650936554,.3985207065136128,.3985207065136128,0,-.444951866421948,-1.775277119643434,-2.220228986065382,.566120380961195
Wesley Matthews,matthwe02,2023,RS,MIL,1723,792,-2.538038207273963,-.4549075348922472,-2.99294574216621,-.7290609679264104,2.26293859146086,1.533877623534449,-2.309374396232148,.0191045720582733,-2.290269824173875,.1852341206210936,.1852341206210936,0,-2.530796441802507,-.5766413744522367,-3.107437816254744,-.2893187839906277
Tyrese Maxey,maxeyty01,2023,RS,PHI,4096,2016,2.113318655627986,-1.247543763664969,.8657748919630166,2.407560654520674,-.6421402088350814,1.765420445685593,2.251464990604132,-1.194387523624447,1.057077466979686,3.866997709174334,3.866997709174334,0,2.681537902743009,-.7054287056009128,1.976109197142096,-1.257425523623718
Skylar Mays,mayssk01,2023,RS,POR,202,96,5.184187667415129,.4884667551116285,5.672654422526757,2.415362685401909,-4.548671008682574,-2.133308323280665,4.935397144723257,-.4838266185502926,4.451570526172964,.3431885196358029,.3431885196358029,0,4.310328182939915,-.5240935892519493,3.786234593687966,-2.727322302332204
Miles McBride,mcbrimi01,2023,RS,NYK,1509,730,-2.227893121340165,1.667301519944231,-.560591601395934,-.8520590024806124,4.913732518901379,4.061673516420766,-2.124181702909837,2.437373392912033,.3131916900021956,1.132027930684329,1.132027930684329,0,-1.700645174194702,2.097913086844651,.3972679126499497,-.7819458317671599
CJ McCollum,mccolcj01,2023,RS,NOP,5332,2571,.8308623056385294,-.7813317966384717,.0495305090000576,2.82906605072327,-3.7530712503051,-.9240051995818308,1.309825966614039,-1.469288318417008,-.1594623518029699,3.385499317038492,3.385499317038492,0,1.376086463702939,-1.188843863412824,.1872426002901151,-.3731187840869776
T.J. McConnell,mccontj01,2023,RS,IND,3305,1526,1.094445008124345,1.667708946269712,2.762153954394057,-2.847607100979734,1.642976458116549,-1.204630642863185,.3472663830468379,1.806653054043881,2.153919437090719,3.831982790843214,3.831982790843214,0,.8160814843096907,.8950943950555714,1.711175879365262,.3688000971297104
Jalen McDaniels,mcdanja01,2023,RS,CHA,3200,1494,-1.993686977973996,.7033908789502555,-1.29029609902374,-.1160207281303059,.5968247141728746,.4808039860425687,-1.658716447545844,.7458236166553276,-.9128928308905162,1.404160473345423,1.404160473345423,0,-1.651488662468166,.8754211719998127,-.776067490468353,.2770032279839121
Jalen McDaniels,mcdanja01,2023,RS,PHI,688,332,-.8506836869776337,-3.997036368262393,-4.847720055240027,5.231604372213797,-3.455004494126672,1.776599878087126,.3386644179232899,-4.150820797704837,-3.812156379781547,-.1794032027615648,-.1794032027615648,0,-.1758810377676289,-2.46683593695379,-2.642716974721419,-.2868061696632586
Jaden McDaniels,mcdanja02,2023,RS,MIN,5019,2382,-1.740659220497565,1.298602020240843,-.4420572002567218,1.713265441139862,.7187232569595963,2.431988698099458,-1.111401100059071,1.239555005004997,.1281539049459262,3.499984226619552,3.499984226619552,0,-1.686953728205756,1.792055093990652,.1051013657848965,.062687578012049
Doug McDermott,mcderdo01,2023,RS,SAS,2858,1314,-1.169217302569479,-4.620157091903406,-5.789374394472885,-.9312123219757453,-2.421583770431079,-3.352796092406824,-1.126866727902513,-4.396670322924058,-5.523537050826571,-1.87027452153267,-1.87027452153267,0,-1.082079145923746,-5.045819952286783,-6.12789909821053,.5905379303292947
JaVale McGee,mcgeeja01,2023,RS,DAL,738,347,-5.310155738552761,-.982594849323625,-6.292750587876386,-5.816885065988767,-1.127812790038317,-6.944697856027084,-5.776956125485949,-1.059365084184435,-6.836321209670384,-.7308651035352857,-.7308651035352857,0,-5.520390028841108,-1.779302254323988,-7.299692283165096,1.035135747336041
Bryce McGowens,mcgowbr01,2023,RS,CHA,1540,719,-3.785655999515072,-1.54285018604461,-5.328506185559682,-5.470779921948679,-1.45292862967444,-6.923708551623118,-4.310296568354261,-1.595589331758926,-5.905885900113187,-1.15976293691038,-1.15976293691038,0,-4.860337786362665,-2.761681451442125,-7.622019237804791,.1809678707965908
Rodney McGruder,mcgruro01,2023,RS,DET,1103,524,.5756832643460452,-.2707259323775429,.3049573319685023,1.295569252242714,-.652437267132107,.6431319851106072,.8009789327947552,-.2963588213425397,.5046201114522155,.8697972680350317,.8697972680350317,0,.030340907899981,-1.111237067793061,-1.08089615989308,-.0357572793234654
Jordan McLaughlin,mclaujo01,2023,RS,MIN,1424,641,-.3152345990038511,-.6130603858438111,-.9282949848476622,-.521119620860633,5.716523433351759,5.195403812491127,-.3620413069345884,.6562340409553896,.2941927340208013,.9988011985352552,.9988011985352552,0,-.8193114142101143,-.1057140842893615,-.9250254984994759,.3275992333654862
De'Anthony Melton,meltode01,2023,RS,PHI,4338,2129,.2153732459074764,1.728333128310201,1.943706374217677,-1.648735569661578,-1.42234071825225,-3.071076287913828,-.1961266469112856,1.139252554729113,.943125907817827,4.021527452543973,4.021527452543973,0,.5206663443644906,2.379535965261731,2.900202309626221,.2513005722716586
Sam Merrill,merrisa01,2023,RS,CLE,21,11,-9.626058903423701,-6.04102457051204,-15.66708347393574,-21.48124590981945,2.925040708207033,-18.55620520161242,-12.78435384270549,-4.654805814929636,-17.43915965763512,-.0820319087307791,-.0820319087307791,0,-8.134747131418349,-4.017800316876395,-12.15254744829474,-.4974147575893643
Chimezie Metu,metuch01,2023,RS,SAC,1463,660,-2.059698338298819,.234327789817766,-1.825370548481053,.8611622167433456,4.152628837313783,5.013791054057128,-1.619848711043614,1.114572654826189,-.5052760562174259,.7585195678651661,.7585195678651661,0,-.9241490991780217,.0544087789093845,-.8697403202686371,.3534709139342186
Khris Middleton,middlkh01,2023,RS,MIL,1758,801,2.21818089682206,.4187120322377627,2.636892929059822,.4515639642260617,1.901007054265186,2.352571018491247,1.96826178244983,.6910994166781396,2.65936119912797,2.238267061563341,2.238267061563341,0,2.216015100613169,-.4349350510920249,1.781080049521144,1.260173210553229
